Date,Price,Open,High,Low,Vol.,Change %
03/29/2025,124.110,129.451,130.475,123.557,3880000,-4.15%
03/28/2025,129.488,138.403,139.021,127.840,6240000,-6.45%
03/27/2025,138.416,137.261,140.184,135.757,3930000,0.80%
03/26/2025,137.322,143.550,145.469,135.986,4950000,-4.41%
03/25/2025,143.657,140.777,147.305,138.202,5750000,1.84%
03/24/2025,141.066,132.524,144.930,132.120,7490000,6.22%
03/23/2025,132.804,128.381,134.017,128.242,2740000,3.37%
03/22/2025,128.481,128.619,131.783,127.864,2280000,0.00%
03/21/2025,128.485,127.426,130.093,124.874,3870000,0.73%
03/20/2025,127.558,135.397,135.917,126.736,4210000,-5.76%
03/19/2025,135.361,125.219,136.023,124.245,6670000,7.99%
03/18/2025,125.344,127.990,128.061,121.846,4910000,-2.11%
03/17/2025,128.048,126.148,130.600,125.655,4470000,1.53%
03/16/2025,126.112,136.003,136.621,125.256,4460000,-7.18%
03/15/2025,135.870,133.543,136.509,132.465,2950000,1.83%
03/14/2025,133.424,123.105,135.797,123.090,5900000,8.15%
03/13/2025,123.375,126.487,128.334,120.913,4730000,-2.56%
03/12/2025,126.610,125.620,131.164,121.305,7210000,1.03%
03/11/2025,125.323,118.710,128.321,112.247,10440000,6.04%
03/10/2025,118.187,126.747,131.298,115.683,10630000,-6.55%
03/09/2025,126.464,136.891,139.845,125.717,6020000,-7.68%
03/08/2025,136.989,139.332,141.065,135.347,3050000,-1.68%
03/07/2025,139.329,143.333,150.228,135.315,11180000,-2.78%
03/06/2025,143.306,146.505,152.876,142.473,6860000,-2.05%
03/05/2025,146.305,144.318,149.626,140.385,7660000,1.03%
03/04/2025,144.809,141.441,146.693,131.317,16440000,1.89%
03/03/2025,142.123,178.133,178.133,139.418,17700000,-20.47%
03/02/2025,178.711,143.637,179.039,140.137,20860000,24.35%
03/01/2025,143.717,147.788,150.853,138.594,5970000,-3.00%
02/28/2025,148.161,137.747,148.575,125.641,15030000,7.63%
02/27/2025,137.654,135.399,142.565,134.860,6930000,1.78%
02/26/2025,135.244,144.379,145.095,130.706,9200000,-6.25%
02/25/2025,144.259,142.899,146.934,132.091,18180000,1.70%
